很多视频网站上都可以看到观众发送的弹幕′这里的弹读作?	d盏n
英雄故事 狼牙山五壮士J 发生的历史时期是?	 抗日战争
王者荣耀 中  以狼为坐骑的是谁?	 成吉思汗
四大名著中 水浒传 中 玉麒麟 指的是?	卢俊义
大泽乡农民起义领导人是?	陈胜吴广
在数学公式中) 我们_股用哪个英文字母标注图形的高?	h
下列哪项是清明节时的习俗?	扫墓
下列哪_种植物被称为植物界的活化石?	银杏
我国的 帆船之都 是山东省的聊个城市?	雷岛
春蚕到死丝方尽′ 蜡炬成灰泪始干 的作者是?	李商隐
下列唧项是清明节时的习俗?	扫墓
中国 四大古 J 不售 以下哪个选项? 1 题	 鄂尔多斯高原
歇后语 嫖粉迸棺材 的下半句是?	 死要面子 
我国最早建立的南极科考站是?	中山站
诗句 衣带渐宽终不悔 的下半句是?	 为伊消得人憔悴
下列对中国文化艺术的文言别称′居于美术的是?	丹青
世界最长河流是7	尼罗河
歌词 _为什么不喝啤尴′ 困为啤酒伤身体 出自歌手周杰伦的哪首歌?	 牛仔很忙
筷子插进水中会变弯是因为发生了什么现象?	 折射现象
下列生物屋于单细胞生物的是?	草履虫
世界文化遗产 狮身人面像 现位于哪个国家境内?	埃及
中国人民财产保险 的英文简称是?	P_cC
正宫 醉西施中 便是牡丹花下死 的下_句是?	 做鬼也风流 
米线昌初是哪_地区的特产?	云南
无妻或丧妻的男人被称为?	稣天
每天1g点整) 全国各大电视台统一播放的电视节目罡?	 新闻联播
相传始厘于三国孙吴时期的著名古刹 静安寺 位于我国的哪个城市?	上海
二战时期纳粹指的是嘟个国家?	德国
网红 皮皮虾J 的学名叫什么?	虾蛇
赤壁赋 的作者是?	苏轼
世界三大宗教不包括下列哪一个?	道教
东汉宋年历史人物吕布字 () ?	奉先
中国是世界四大文明古国之_, 从古至今约有多少年的历史渊源?	五千年
出演 妙手仁心  陀枪师姐的演员蔡少芬的丈夫罡谁?	张晋
摇滚圈常见的) 剃光两边头发只留中间的发型叫做?	莫西干
礼记学记 中 玉不琢J 的下_句是?	不成器
六脉神剑是哪部金庸武侠小说中的武功招式?	 天龙/ `部
下列国家中人口最多的是?	印度
茶馆 的作者是谁?	老舍
我国少数民族分布最多的省份是?	云南
西方圣诞节中) 圣诞老人是从哪个地方进入到房间给孩子们送礼物?	烟囱
相同周长的下列图形中′ 哪个图形的面积最大?	圆形
被称为 风车之国 的欧洲国家是?	 释迦牟尼 
佛教的创立者是?	4 in Lve
歌曲 _千零_个愿望 ` 命中注定 是哪个女子组合的代表作?	星体
科幻小说中常提及的 黑洞 实际是_种?	4年
蛔虫生活在人体内屋于什么关系?	寄生
俗话说 靠山吃山J 的下一句是?	 靠水吃水
商店标签写着 20%ff 是代表商品打几折?	8折
航空公司 的机舱服务待逞最高的舱位叫做什么?	头等舱
从我国少数民族手圭夺得政权, 田草根逆袭成为_代帝王的皇帝是哪_位?	朱元璋
第_届奥运是在哪国举行?	希腊
问答社区 矢口乎 的吉样物是?	刘看山
歇后语 小葱拌豆腐 下_句是?	一清二白
云南省昆明市最大的淡水湖是?	滇池
以第一台有实用价值的蒸汽机的发明者命名, 功率 的单位罡?	瓦特
俗称 四不像 的动物是?	犀鹿
唐宋八大家J 中 三苏J 指的是?	 苏洵 苏轼 苏辙 
组成水的化学元素是?	氮禾口氧
殷墟 为我们研究哪-朝代的历史提供了证据?	商朝
港币的货币代码是?	HKD
以水田为主的耕地主要分布在哪?	秦淮以南
电影 变形金刚‖ 王题曲 NewDivide 是由哪支美国摇滚乐队演唱?	 林肯公园
我国著名铁路 陇海兰新 线中的兰 指的是甘肃省的哪个城市?	兰州
中国 '有多少个民族?	56
古龙小说 风云第一刀 中 小李飞刀的名字是?	孪寻欢
_祝1尔平安 哦祝你平安J 祝你平安 的原唱是我国内地哪位女歌手?	孙悦
阿尔弗冒德诸贝尔因友明了什么血致富 从而在他死后创建了诺贝尔奖?	炸药
电视剧 西游记 当中 唐僧在唧条河收了沙和尚做徒弟?	流沙河
川菜 鱼香肉丝J 用的是什么肉?	猪肉
人生代代无穷已 下_句是?	江月 年年望相似 
老狠演唱的 陲在我上踊的兄弟  这首歌的词曲作者是哪位内地音乐人?	高晓松
常见的手机号码共有几位数字? |	11
处女座J 是什么时候出生的星座?	 8~9月 
历史上第_位获得两次诺贝尔奖的女性科学家是?	 居里夫人 
达芬奇的名画 蒙娜丽莎 现被收脯在法国哪座博物馆?	卢浮宫
风声鹤喉J 的下一句是?	 草木皆兵
沙琪玛J 是源 自 我国哪个 民族的食品?	满族
_兆 等于多少KB7	 1024
电影 少林寺 是哪一明星的成名作?	李连杰
将线段的两端无限延长′ 会形成什么?	直线
我国的 r帆船之都 是山东省的哪个城市?	银杏
蓁葭苍苍 白露为霜 所谓伊人 的下_句是?	君子好逮 |
世界贸易组织简称是?	WT
有 镁榔头J 一栅盯前中国鲱球女i雇五炮员罡谁?	郎平
兼葭苍苍 白露为霜 所谓伊人 的下_句是?	 在水-方 
f尤盘J 是通过什么接口与电脑三换数据的?	USB
火影忍者 中, 封印在呜人体的怪物是?	九尾
薰葭苍苍 白震为霞 所渭伊人 的下_句是?	 在水_方 
百家姓前四个顺序是?	赵钱孙李
常言道 兵来将挡J ?	水来土掩 
鸦片战争J 是指中国与哪_制主义国家之间的战争?	英国
被誉为 股神J 的是?	巴菲特
大脖子病 的学名是?	 甲状腺肿 
琵琶行 中 犹抱琵琶半遮面.的上一句是?	 千呼万唤始出来
庾澄庆的歌曲 情非得已 是鹏偶像剧主题曲?	 流星花园 
汉高祖 是指的中国古代嘟位帚?	刘邦
历史上 焚书坑儒J 事件发生的l史时期是?	秦朝
首位在杜比剧院开唱的内地流行要手是哪位?	张杰
著名建筑 埃菲尔铁塔 是嘟座i市的地标?	巴黎
西方 的谚语中说 天下没有免费的 ?	午餐
斩疆的省会是?	 乌鲁木齐
再别康桥 的作者是?	徐志雇
世界国土面积最小的国家是?	梵蒂冈
佛敦的发源地是?	印度
出自 庄子秋水  子非鱼J下_句是?	 焉知鱼之乐
_口烦窈杖二日颗 个肪帛贼蚓人 这首诗措绘的是谁对荔枝的喜娶岁僧7	苏轼
下列雇于稀有气体的是了	氖气
下列雇于请末四大讽剌小说的是	 宫场现形记 
对角线相等的梯形是?	 等腰梯形 
拿破仑惨败的地点涓铁卢位于嘟个欧洲国家?	比利时
喜羊羊与灰太狼 中, 灰太狼与红太狼的儿子叫什么名字?	小灰灰
溴门回归的年份是?	 1999 
由腾讯推出的适用于腾讯几乎所有业务` 游戏的虚拟货币叫什么?	币
兵书 孙子兵法 的作者是?	孙武
动画片 喜羊羊与灰太狼 中' 哪个动画角色经棠彼平底锅打头?	灰太狼
生活中  人们常把男性香水称为?	古龙水
在医学中, 英文直译成盘尼西林(Be"zypenici‖in) 又彼称为什么?	青雇景
世界最大的小商品批发市场位于哪一地区?	义乌
香港地区茌哪一年回归祖国怀抱?	 1997年 
我们常说的甲烷气体的化学式是?	CH4
以下唧个现象的成因与太阳无关?	地震
三江谅 位于我国哪个省?	雷海省
以下各省份的简称错误的是嘟一个?	江西__闽
三英战吕布 中的 三英 是指哪三个人?	 刘备 关羽 张飞 
工茼售理硒士的英文缩写是?	MBA
黄安的名曲 新鸳鸯蝴蝶梦 中油刀断水水更流J 的下_句是?	 举杯消愁愁更愁 
下列体育明星中身高最高的皇?	姚明
青花瓷 的作词者是淮7	方文山
金庸的多部小说中, 汀狗棒是哪个帮派的镇帮之宝?	丐帮
食物土豆的学名是?	马铃薯
帝国大厦是哪个城市的地标?	疑是银河落九天
连云港市属于哪个省7	江苏省
麦当劳叔叔的头发是什么颜色?	红色
第一二欠把圆周率精确到/J\数点后71j的数学家是?	祖冲之
经典电影 金刚 中) 爬上帝国大厦与飞机搏斗的是哪种动物?	猩猩
青春痘J 在医学上被称为什么7	痤疮
阿兹诲默症的俗称是?	老年痴呆
戊戌变旌的 六君子J 其中姓谭的是?	潭祠同
张国荣生前主演的最后_部电影是哪部恐怖片?	异度空间
不在沉默中爆发, 就在沉默中灭亡 出自鲁迅的哪篇文草?	纪念刘和珍君
哪个月份没有30号?	2月
下列哪种液体沸点最低?	酒精
出师表 的作者是?	诸葛亮
